Thu Aug 15 13:16:20 2024       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 545.23.08              Driver Version: 545.23.08    CUDA Version: 12.3     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  Tesla V100-SXM2-32GB           On  | 00000000:89:00.0 Off |                    0 |
| N/A   33C    P0              54W / 300W |    393MiB / 32768MiB |      0%      Default |
|                                         |                      |                  N/A |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|    0   N/A  N/A      2616      C   julia                                       390MiB |
+---------------------------------------------------------------------------------------+
i:      0, sim time:  0 seconds, wall time:  0 seconds, progress        0.0, Δt: 1.778 seconds, CFL: 7.50e-01
i:  14200, sim time: 7.015 hours, wall time: 2.134 minutes, progress 5.846116978767549, Δt: 1.781 seconds, CFL: 7.50e-01
i:  14300, sim time: 7.065 hours, wall time: 2.144 minutes, progress 5.887354526920541, Δt: 1.781 seconds, CFL: 7.50e-01
i:  14400, sim time: 7.114 hours, wall time: 2.154 minutes, progress 5.9285920800766965, Δt: 1.781 seconds, CFL: 7.50e-01
i:  14500, sim time: 7.164 hours, wall time: 2.165 minutes, progress 5.96982959940792, Δt: 1.781 seconds, CFL: 7.50e-01
i:  14600, sim time: 7.213 hours, wall time: 2.175 minutes, progress 6.01106720084831, Δt: 1.781 seconds, CFL: 7.50e-01
i:  14700, sim time: 7.262 hours, wall time: 2.185 minutes, progress 6.051976030113786, Δt: 1.781 seconds, CFL: 7.50e-01
i:  14800, sim time: 7.312 hours, wall time: 2.195 minutes, progress 6.0932135948492085, Δt: 1.781 seconds, CFL: 7.50e-01
i:  14900, sim time: 7.361 hours, wall time: 2.206 minutes, progress 6.13445121563049, Δt: 1.781 seconds, CFL: 7.50e-01
i:  15000, sim time: 7.411 hours, wall time: 2.216 minutes, progress 6.175688770315479, Δt: 1.781 seconds, CFL: 7.50e-01
i:  15100, sim time: 7.460 hours, wall time: 2.226 minutes, progress 6.216926323069601, Δt: 1.781 seconds, CFL: 7.50e-01
i:  15200, sim time: 7.509 hours, wall time: 2.238 minutes, progress 6.257422772749749, Δt: 1.781 seconds, CFL: 7.50e-01
i:  15300, sim time: 7.558 hours, wall time: 2.248 minutes, progress 6.2986603737063644, Δt: 1.781 seconds, CFL: 7.50e-01
i:  15400, sim time: 7.608 hours, wall time: 2.258 minutes, progress 6.339897983803204, Δt: 1.781 seconds, CFL: 7.50e-01
i:  15500, sim time: 7.657 hours, wall time: 2.268 minutes, progress 6.381135528560049, Δt: 1.781 seconds, CFL: 7.50e-01
i:  15600, sim time: 7.707 hours, wall time: 2.278 minutes, progress 6.422373185846484, Δt: 1.781 seconds, CFL: 7.50e-01
i:  15700, sim time: 7.756 hours, wall time: 2.303 minutes, progress 6.463281859987262, Δt: 1.781 seconds, CFL: 7.50e-01
i:  15800, sim time: 7.805 hours, wall time: 2.313 minutes, progress 6.504519568582107, Δt: 1.781 seconds, CFL: 7.50e-01
i:  15900, sim time: 7.855 hours, wall time: 2.324 minutes, progress 6.545757198070125, Δt: 1.781 seconds, CFL: 7.50e-01
i:  16000, sim time: 7.904 hours, wall time: 2.334 minutes, progress 6.586994820224492, Δt: 1.781 seconds, CFL: 7.50e-01
i:  16100, sim time: 7.954 hours, wall time: 2.344 minutes, progress 6.628232453635395, Δt: 1.781 seconds, CFL: 7.50e-01
i:  16200, sim time: 8.003 hours, wall time: 2.354 minutes, progress 6.669140927910765, Δt: 1.781 seconds, CFL: 7.50e-01
i:  16300, sim time: 8.052 hours, wall time: 2.364 minutes, progress 6.710378587539482, Δt: 1.781 seconds, CFL: 7.50e-01
i:  16400, sim time: 8.102 hours, wall time: 2.375 minutes, progress 6.751616298372143, Δt: 1.781 seconds, CFL: 7.50e-01
i:  16500, sim time: 8.151 hours, wall time: 2.385 minutes, progress 6.79285398792974, Δt: 1.781 seconds, CFL: 7.50e-01
i:  16600, sim time: 8.201 hours, wall time: 2.395 minutes, progress 6.834091657498302, Δt: 1.781 seconds, CFL: 7.50e-01
i:  16700, sim time: 8.250 hours, wall time: 2.405 minutes, progress 6.875000000000001, Δt: 1.781 seconds, CFL: 7.50e-01
i:  16800, sim time: 8.299 hours, wall time: 2.438 minutes, progress 6.916237642078044, Δt: 1.781 seconds, CFL: 7.50e-01
i:  16900, sim time: 8.349 hours, wall time: 2.448 minutes, progress 6.957475356555352, Δt: 1.781 seconds, CFL: 7.50e-01
i:  17000, sim time: 8.398 hours, wall time: 2.458 minutes, progress 6.998713045615235, Δt: 1.781 seconds, CFL: 7.50e-01
i:  17100, sim time: 8.448 hours, wall time: 2.468 minutes, progress 7.039950735196969, Δt: 1.781 seconds, CFL: 7.50e-01
i:  17200, sim time: 8.497 hours, wall time: 2.479 minutes, progress 7.081188439066062, Δt: 1.781 seconds, CFL: 7.50e-01
i:  17300, sim time: 8.547 hours, wall time: 2.489 minutes, progress 7.122096830113139, Δt: 1.781 seconds, CFL: 7.50e-01
i:  17400, sim time: 8.596 hours, wall time: 2.499 minutes, progress 7.163334535830295, Δt: 1.781 seconds, CFL: 7.50e-01
i:  17500, sim time: 8.645 hours, wall time: 2.509 minutes, progress 7.204572287114686, Δt: 1.781 seconds, CFL: 7.50e-01
