Mon Aug 19 23:04:43 2024       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 545.23.08              Driver Version: 545.23.08    CUDA Version: 12.3     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  Tesla V100-SXM2-32GB           On  | 00000000:1B:00.0 Off |                    0 |
| N/A   33C    P0              58W / 300W |    393MiB / 32768MiB |      0%      Default |
|                                         |                      |                  N/A |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|    0   N/A  N/A      3203      C   julia                                       390MiB |
+---------------------------------------------------------------------------------------+
i:      0, sim time:  0 seconds, wall time:  0 seconds, progress        0.0, Δt:  49.538 ns, CFL: 7.50e-01
i:   7700, sim time: 381.439 μs, wall time: 2.820 minutes, progress 2.2074011732711077e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:   7800, sim time: 386.393 μs, wall time: 2.831 minutes, progress 2.2360687209759173e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:   7900, sim time: 391.346 μs, wall time: 2.841 minutes, progress 2.264736268680727e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:   8000, sim time: 396.300 μs, wall time: 2.851 minutes, progress 2.2934038163855368e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:   8100, sim time: 401.254 μs, wall time: 2.862 minutes, progress 2.3220713640903464e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:   8200, sim time: 406.208 μs, wall time: 2.872 minutes, progress 2.3507389117951556e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:   8300, sim time: 411.161 μs, wall time: 2.883 minutes, progress 2.3794064594999655e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:   8400, sim time: 416.115 μs, wall time: 2.893 minutes, progress 2.4080740072047748e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:   8500, sim time: 421.069 μs, wall time: 2.903 minutes, progress 2.4367415549095844e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:   8600, sim time: 426.023 μs, wall time: 2.914 minutes, progress 2.465409102614394e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:   8700, sim time: 430.976 μs, wall time: 2.924 minutes, progress 2.4940766503192035e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:   8800, sim time: 435.930 μs, wall time: 2.935 minutes, progress 2.5227441980240134e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:   8900, sim time: 440.884 μs, wall time: 2.945 minutes, progress 2.5514117457288227e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:   9000, sim time: 445.838 μs, wall time: 2.955 minutes, progress 2.580079293433632e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:   9100, sim time: 450.791 μs, wall time: 2.966 minutes, progress 2.6087468411384418e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:   9200, sim time: 455.745 μs, wall time: 2.976 minutes, progress 2.637414388843251e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:   9300, sim time: 460.699 μs, wall time: 2.986 minutes, progress 2.6660819365480607e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:   9400, sim time: 465.653 μs, wall time: 2.997 minutes, progress 2.6947494842528706e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:   9500, sim time: 470.606 μs, wall time: 3.007 minutes, progress 2.7234170319576798e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:   9600, sim time: 475.560 μs, wall time: 3.017 minutes, progress 2.7520845796624897e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:   9700, sim time: 480.514 μs, wall time: 3.028 minutes, progress 2.780752127367299e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:   9800, sim time: 485.468 μs, wall time: 3.038 minutes, progress 2.8094196750721082e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:   9900, sim time: 490.421 μs, wall time: 3.048 minutes, progress 2.838087222776918e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:  10000, sim time: 495.375 μs, wall time: 3.059 minutes, progress 2.8667547704817277e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:  10100, sim time: 500.329 μs, wall time: 3.069 minutes, progress 2.8954223181865373e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:  10200, sim time: 505.283 μs, wall time: 3.079 minutes, progress 2.924089865891347e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:  10300, sim time: 510.236 μs, wall time: 3.090 minutes, progress 2.952757413596156e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:  10400, sim time: 515.190 μs, wall time: 3.100 minutes, progress 2.981424961300966e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:  10500, sim time: 520.144 μs, wall time: 3.110 minutes, progress 3.010092509005775e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:  10600, sim time: 525.098 μs, wall time: 3.121 minutes, progress 3.0387600567105855e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:  10700, sim time: 530.051 μs, wall time: 3.131 minutes, progress 3.0674276044153944e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:  10800, sim time: 535.005 μs, wall time: 3.142 minutes, progress 3.096095152120204e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:  10900, sim time: 539.959 μs, wall time: 3.152 minutes, progress 3.1247626998250136e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:  11000, sim time: 544.913 μs, wall time: 3.163 minutes, progress 3.153430247529823e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:  11100, sim time: 549.866 μs, wall time: 3.173 minutes, progress 3.182097795234633e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:  11200, sim time: 554.820 μs, wall time: 3.184 minutes, progress 3.210765342939442e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:  11300, sim time: 559.774 μs, wall time: 3.194 minutes, progress 3.239432890644252e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:  11400, sim time: 564.728 μs, wall time: 3.204 minutes, progress 3.2681004383490615e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:  11500, sim time: 569.682 μs, wall time: 3.214 minutes, progress 3.296767986053871e-8, Δt:  49.538 ns, CFL: 7.50e-01
